Category,AE-L2 \cite{Bergmann.2021},AE-SSIM \cite{Bergmann.2021},AnoSeg \cite{JouwonSong.2021},CFA \cite{Lee.09.06.2022},CFLOW-AD \cite{Gudovskiy.27.07.2021},CutPaste \cite{Li.08.04.2021},DRAEM+SSMCTB \cite{Madan.25.09.2022},DRÆM+SSPCAB \cite{Ristea.17.11.2021},DRÆM \cite{Zavrtanik.17.08.2021},EdgRec \cite{Liu.26.10.2022},FAPM \cite{Kim.14.11.2022},FastFlow+AltUB \cite{Kim.26.10.2022},FastFlow \cite{Yu.15.11.2021},FCDD \cite{Liznerski.2021},FYD \cite{Zheng.09.10.2021},GCPF \cite{Wan.2022},Glancing Patch \cite{Wang.62020216252021},IKD \cite{Cao.2022},MemSeg \cite{Yang.02.05.2022},MSPB \citet{C.C.Tsai.2022},N-pad \cite{Jang.17.10.2022},NSA \cite{Schluter.30.09.2021},PaDiM \cite{Defard.2021},Patch SVDD \cite{Yi.2020},PatchCore \cite{Roth.15.06.2021},PFM \cite{Wan.2022b},PNI \cite{Bae.23.11.2022},Reverse Distillation \cite{Deng.},RSPTM \cite{Yamada.30.11.2021},SOMAD \cite{Li.21.07.2021},SPADE \cite{Cohen.05.05.2020},STPM \cite{Wang.07.03.2021},STPMDisc \cite{Yamada.14.10.2022},Visually Explaining VAE \cite{Liu.18.11.2019}
Bottle,86.0,93.0,99,98.9,98.98,97.6,99.2,98.8,99.1,98.3,98.2,99.0,97.7,97.0,98.3,97.5,93.0,98.99,99.3,98.6,98.91,98.3,98.3,98.1,98.6,95.4,98.98,98.7,98.9,98.3,98.4,98.8,99.3,87.0
Cable,86.0,82.0,99,99.0,97.64,90.0,95.5,96.0,94.7,97.7,98.5,98.5,98.4,90.0,97.5,95.73,94.0,98.03,97.4,98.2,98.88,96.0,96.7,96.8,98.4,94.2,99.14,97.4,97.6,98.2,97.2,95.5,98.3,90.0
Capsule,88.0,94.0,90,99.1,98.98,97.4,93.4,93.1,94.3,95.2,99.0,99.2,99.1,93.0,98.6,97.72,90.0,98.55,99.3,97.9,98.96,97.6,98.5,95.8,98.8,91.7,99.3,98.7,98.9,98.7,99.0,98.3,98.5,74.0
Carpet,59.0,87.0,99,99.0,99.25,98.3,95.8,95.0,95.5,99.4,98.9,99.5,99.4,96.0,98.5,98.97,96.0,98.71,99.2,98.4,99.03,95.5,99.1,92.6,99.0,96.9,99.17,98.9,99.0,98.9,97.5,98.8,99.2,78.0
Grid,90.0,94.0,99,98.1,98.99,97.5,99.7,99.5,99.7,99.2,97.8,99.3,98.3,91.0,96.8,97.79,78.0,97.04,99.3,98.5,98.13,99.2,97.3,96.2,98.7,96.0,99.26,99.3,99.3,98.4,93.7,99.0,99.6,73.0
Hazelnut,95.0,97.0,99,98.9,98.89,97.3,99.5,99.8,99.7,99.4,98.6,99.4,99.1,95.0,98.7,98.12,84.0,98.71,98.8,97.8,99.03,97.6,98.2,97.5,98.7,96.7,98.96,98.9,99.1,98.4,99.1,98.5,99.5,98.0
Leather,75.0,78.0,98,99.3,99.66,99.5,97.6,99.5,98.6,99.7,99.0,99.7,99.5,98.0,99.2,99.26,90.0,98.53,99.7,99.1,99.43,99.5,99.2,97.4,99.3,98.8,99.41,99.4,99.0,99.1,97.6,99.3,99.6,95.0
Metal Nut,86.0,89.0,99,99.1,98.56,93.1,99.3,98.9,99.5,98.0,98.2,98.7,98.5,94.0,98.2,95.91,91.0,98.38,99.3,99.1,99.19,98.4,97.2,98.0,98.4,94.6,99.08,97.3,98.6,98.0,98.1,97.6,98.9,94.0
Pill,85.0,91.0,94,98.8,98.86,95.7,97.4,97.5,97.6,98.7,98.0,99.1,99.2,81.0,97.3,97.04,93.0,98.79,99.5,98.8,99.04,98.5,95.7,95.1,97.4,96.1,98.42,98.2,97.1,98.0,96.5,97.8,98.7,83.0
Screw,96.0,96.0,91,99.0,98.86,96.7,99.5,99.8,97.6,97.7,99.0,99.5,99.4,86.0,98.7,97.45,96.0,98.63,98.0,98.5,98.8,96.5,98.5,95.7,99.4,93.4,99.39,99.6,99.4,99.1,98.9,98.3,99.3,97.0
Tile,51.0,59.0,98,96.3,98.01,90.5,99.3,99.3,99.2,98.6,95.2,97.6,96.3,91.0,96.8,96.14,80.0,95.68,99.5,94.4,97.62,99.3,94.1,91.4,95.6,88.7,98.92,95.6,96.8,94.8,87.4,97.4,98.8,80.0
Toothbrush,93.0,92.0,96,99.1,98.93,98.1,99.0,98.1,98.1,99.2,98.7,99.2,98.9,94.0,98.9,97.25,96.0,98.58,99.4,99.0,99.0,94.9,98.8,98.1,98.7,90.7,99.52,99.1,99.0,98.5,97.9,98.9,99.3,94.0
Transistor,86.0,90.0,96,98.4,97.99,93.0,89.1,87.0,90.9,94.3,98.2,98.0,97.3,88.0,98.1,90.69,100.0,97.13,97.3,97.7,98.55,88.0,97.5,97.0,96.3,74.9,98.34,92.5,88.1,95.3,94.1,82.5,90.7,93.0
Wood,73.0,73.0,98,95.0,96.65,95.5,94.8,96.8,96.4,91.4,94.0,96.9,97.0,88.0,99.6,95.13,81.0,93.88,98.0,97.5,97.49,90.7,94.9,90.8,95.0,92.6,96.46,95.3,96.4,94.4,88.5,97.2,98.1,77.0
Zipper,77.0,88.0,98,99.0,99.08,99.3,99.0,99.0,98.8,98.7,98.6,99.1,98.7,92.0,98.2,98.2,99.0,97.56,98.8,98.6,99.16,94.2,98.5,95.1,98.8,94.8,99.3,98.2,98.5,98.7,96.5,98.5,99.2,78.0
